"RespostaKey","TempoKey","AlunoKey","QuestaoKey","SimuladoKey","RespostaDada","Acertou","TempoRespostaSegundos"
1,1,1,1,1,"B",0,25
2,1,1,2,1,"B",1,46
3,1,1,3,1,"C",1,54
4,1,1,4,1,"A",0,75
5,1,1,5,1,"E",1,93
6,1,1,6,1,"A",1,39
7,1,1,7,1,"B",1,16
8,1,1,8,1,"C",1,43
9,1,1,9,1,"D",1,55
10,1,1,10,1,"D",0,89
11,1,1,11,1,"A",1,107
12,1,1,12,1,"B",1,50
13,1,1,13,1,"C",1,44
14,1,1,14,1,"D",1,68
15,1,1,15,1,"D",0,24
16,1,1,16,1,"A",1,83
17,1,1,17,1,"B",1,98
18,1,1,18,1,"B",0,10
19,1,1,19,1,"A",0,14
20,1,1,20,1,"B",0,37
21,1,1,21,1,"E",0,52
22,1,1,22,1,"B",1,107
23,1,1,23,1,"C",1,92
24,1,1,24,1,"A",0,34
25,1,1,25,1,"B",0,16
26,1,1,26,1,"D",0,53
27,1,1,27,1,"C",0,46
28,1,1,28,1,"B",0,69
29,1,1,29,1,"C",0,86
30,1,1,30,1,"C",0,28
31,1,1,31,1,"A",1,5
32,1,1,32,1,"B",1,55
33,1,2,1,1,"A",1,38
34,1,2,2,1,"E",0,70
35,1,2,3,1,"E",0,28
36,1,2,4,1,"D",1,121
37,1,2,5,1,"A",0,94
38,1,2,6,1,"A",1,20
39,1,2,7,1,"B",1,15
40,1,2,8,1,"E",0,48
41,1,2,9,1,"D",1,78
42,1,2,10,1,"E",1,86
43,1,2,11,1,"D",0,91
44,1,2,12,1,"B",1,14
45,1,2,13,1,"C",1,44
46,1,2,14,1,"B",0,55
47,1,2,15,1,"E",1,68
48,1,2,16,1,"C",0,100
49,1,2,17,1,"B",1,91
50,1,2,18,1,"C",1,10
51,1,2,19,1,"D",1,36
52,1,2,20,1,"E",1,55
53,1,2,21,1,"D",0,56
54,1,2,22,1,"A",0,99
55,1,2,23,1,"C",1,85
56,1,2,24,1,"D",1,25
57,1,2,25,1,"B",0,9
58,1,2,26,1,"A",1,30
59,1,2,27,1,"E",0,82
60,1,2,28,1,"B",0,84
61,1,2,29,1,"E",0,107
62,1,2,30,1,"E",1,24
63,1,2,31,1,"A",1,31
64,1,2,32,1,"B",1,61
65,1,3,1,1,"C",0,24
66,1,3,2,1,"A",0,54
67,1,3,3,1,"C",1,75
68,1,3,4,1,"D",1,77
69,1,3,5,1,"E",1,86
70,1,3,6,1,"A",1,18
71,1,3,7,1,"E",0,26
72,1,3,8,1,"C",1,69
73,1,3,9,1,"D",1,49
74,1,3,10,1,"E",1,81
75,1,3,11,1,"B",0,74
76,1,3,12,1,"B",1,5
77,1,3,13,1,"C",1,12
78,1,3,14,1,"D",1,75
79,1,3,15,1,"E",1,43
80,1,3,16,1,"A",1,94
81,1,3,17,1,"B",1,102
82,1,3,18,1,"A",0,19
83,1,3,19,1,"D",1,48
84,1,3,20,1,"B",0,55
85,1,3,21,1,"A",1,47
86,1,3,22,1,"B",1,91
87,1,3,23,1,"C",1,65
88,1,3,24,1,"D",1,49
89,1,3,25,1,"D",0,21
90,1,3,26,1,"E",0,73
91,1,3,27,1,"B",1,46
92,1,3,28,1,"A",0,120
93,1,3,29,1,"A",0,103
94,1,3,30,1,"B",0,29
95,1,3,31,1,"A",1,5
96,1,3,32,1,"B",1,54
97,1,4,1,1,"A",1,33
98,1,4,2,1,"C",0,46
99,1,4,3,1,"A",0,46
100,1,4,4,1,"C",0,81
101,1,4,5,1,"B",0,85
102,1,4,6,1,"A",1,16
103,1,4,7,1,"B",1,17
104,1,4,8,1,"A",0,44
105,1,4,9,1,"D",1,44
106,1,4,10,1,"E",1,79
107,1,4,11,1,"D",0,97
108,1,4,12,1,"B",1,33
109,1,4,13,1,"C",1,22
110,1,4,14,1,"D",1,68
111,1,4,15,1,"E",1,77
112,1,4,16,1,"D",0,88
113,1,4,17,1,"A",0,96
114,1,4,18,1,"C",1,23
115,1,4,19,1,"D",1,16
116,1,4,20,1,"C",0,52
117,1,4,21,1,"A",1,49
118,1,4,22,1,"B",1,83
119,1,4,23,1,"A",0,101
120,1,4,24,1,"D",1,32
121,1,4,25,1,"E",1,27
122,1,4,26,1,"A",1,38
123,1,4,27,1,"E",0,50
124,1,4,28,1,"B",0,88
125,1,4,29,1,"C",0,84
126,1,4,30,1,"E",1,22
127,1,4,31,1,"A",1,42
128,1,4,32,1,"D",0,42
129,1,5,1,1,"A",1,25
130,1,5,2,1,"E",0,61
131,1,5,3,1,"B",0,63
132,1,5,4,1,"D",1,86
133,1,5,5,1,"B",0,92
134,1,5,6,1,"D",0,23
135,1,5,7,1,"E",0,33
136,1,5,8,1,"D",0,32
137,1,5,9,1,"D",1,51
138,1,5,10,1,"E",1,79
139,1,5,11,1,"A",1,98
140,1,5,12,1,"B",1,51
141,1,5,13,1,"B",0,28
142,1,5,14,1,"D",1,72
143,1,5,15,1,"E",1,74
144,1,5,16,1,"A",1,99
145,1,5,17,1,"B",1,80
146,1,5,18,1,"C",1,5
147,1,5,19,1,"D",1,32
148,1,5,20,1,"C",0,48
149,1,5,21,1,"A",1,46
150,1,5,22,1,"E",0,84
151,1,5,23,1,"A",0,78
152,1,5,24,1,"D",1,35
153,1,5,25,1,"A",0,5
154,1,5,26,1,"C",0,52
155,1,5,27,1,"A",0,81
156,1,5,28,1,"A",0,81
157,1,5,29,1,"C",0,72
158,1,5,30,1,"E",1,24
159,1,5,31,1,"A",1,18
160,1,5,32,1,"B",1,52
161,1,6,1,1,"A",1,25
162,1,6,2,1,"E",0,48
163,1,6,3,1,"A",0,52
164,1,6,4,1,"C",0,98
165,1,6,5,1,"D",0,84
166,1,6,6,1,"C",0,12
167,1,6,7,1,"B",1,21
168,1,6,8,1,"A",0,72
169,1,6,9,1,"B",0,51
170,1,6,10,1,"E",1,82
171,1,6,11,1,"A",1,90
172,1,6,12,1,"A",0,39
173,1,6,13,1,"C",1,37
174,1,6,14,1,"E",0,45
175,1,6,15,1,"E",1,56
176,1,6,16,1,"A",1,108
177,1,6,17,1,"A",0,91
178,1,6,18,1,"C",1,17
179,1,6,19,1,"E",0,34
180,1,6,20,1,"D",0,58
181,1,6,21,1,"A",1,41
182,1,6,22,1,"D",0,93
183,1,6,23,1,"E",0,75
184,1,6,24,1,"D",1,13
185,1,6,25,1,"D",0,41
186,1,6,26,1,"D",0,43
187,1,6,27,1,"D",0,56
188,1,6,28,1,"D",0,76
189,1,6,29,1,"D",1,88
190,1,6,30,1,"E",1,16
191,1,6,31,1,"B",0,31
192,1,6,32,1,"B",1,62
193,1,7,1,1,"B",0,16
194,1,7,2,1,"A",0,60
195,1,7,3,1,"C",1,32
196,1,7,4,1,"A",0,103
197,1,7,5,1,"D",0,62
198,1,7,6,1,"A",1,29
199,1,7,7,1,"B",1,43
200,1,7,8,1,"C",1,41
201,1,7,9,1,"B",0,45
202,1,7,10,1,"E",1,91
203,1,7,11,1,"A",1,80
204,1,7,12,1,"B",1,6
205,1,7,13,1,"B",0,40
206,1,7,14,1,"A",0,53
207,1,7,15,1,"E",1,33
208,1,7,16,1,"A",1,100
209,1,7,17,1,"B",1,84
210,1,7,18,1,"C",1,37
211,1,7,19,1,"C",0,25
212,1,7,20,1,"E",1,32
213,1,7,21,1,"A",1,70
214,1,7,22,1,"D",0,92
215,1,7,23,1,"C",1,117
216,1,7,24,1,"D",1,38
217,1,7,25,1,"E",1,25
218,1,7,26,1,"C",0,78
219,1,7,27,1,"B",1,48
220,1,7,28,1,"C",1,76
221,1,7,29,1,"C",0,98
222,1,7,30,1,"E",1,39
223,1,7,31,1,"A",1,38
224,1,7,32,1,"B",1,27
225,1,8,1,1,"A",1,18
226,1,8,2,1,"E",0,72
227,1,8,3,1,"B",0,71
228,1,8,4,1,"A",0,98
229,1,8,5,1,"C",0,100
230,1,8,6,1,"A",1,12
231,1,8,7,1,"A",0,18
232,1,8,8,1,"C",1,65
233,1,8,9,1,"D",1,42
234,1,8,10,1,"A",0,110
235,1,8,11,1,"A",1,74
236,1,8,12,1,"B",1,44
237,1,8,13,1,"C",1,32
238,1,8,14,1,"D",1,68
239,1,8,15,1,"D",0,33
240,1,8,16,1,"D",0,95
241,1,8,17,1,"A",0,88
242,1,8,18,1,"C",1,38
243,1,8,19,1,"D",1,20
244,1,8,20,1,"C",0,46
245,1,8,21,1,"A",1,60
246,1,8,22,1,"B",1,111
247,1,8,23,1,"D",0,76
248,1,8,24,1,"D",1,20
249,1,8,25,1,"E",1,12
250,1,8,26,1,"A",1,63
251,1,8,27,1,"E",0,53
252,1,8,28,1,"E",0,91
253,1,8,29,1,"C",0,84
254,1,8,30,1,"E",1,15
255,1,8,31,1,"A",1,40
256,1,8,32,1,"B",1,55
257,1,9,1,1,"A",1,22
258,1,9,2,1,"D",0,63
259,1,9,3,1,"C",1,35
260,1,9,4,1,"D",1,85
261,1,9,5,1,"E",1,71
262,1,9,6,1,"D",0,27
263,1,9,7,1,"C",0,22
264,1,9,8,1,"C",1,66
265,1,9,9,1,"B",0,50
266,1,9,10,1,"B",0,122
267,1,9,11,1,"E",0,92
268,1,9,12,1,"B",1,26
269,1,9,13,1,"C",1,8
270,1,9,14,1,"D",1,81
271,1,9,15,1,"A",0,60
272,1,9,16,1,"A",1,79
273,1,9,17,1,"A",0,103
274,1,9,18,1,"A",0,43
275,1,9,19,1,"A",0,13
276,1,9,20,1,"B",0,51
277,1,9,21,1,"E",0,43
278,1,9,22,1,"E",0,94
279,1,9,23,1,"C",1,78
280,1,9,24,1,"D",1,14
281,1,9,25,1,"B",0,18
282,1,9,26,1,"A",1,48
283,1,9,27,1,"B",1,48
284,1,9,28,1,"E",0,88
285,1,9,29,1,"D",1,92
286,1,9,30,1,"E",1,44
287,1,9,31,1,"A",1,15
288,1,9,32,1,"C",0,30
289,1,10,1,1,"A",1,8
290,1,10,2,1,"C",0,50
291,1,10,3,1,"C",1,60
292,1,10,4,1,"C",0,99
293,1,10,5,1,"D",0,83
294,1,10,6,1,"E",0,8
295,1,10,7,1,"B",1,5
296,1,10,8,1,"D",0,40
297,1,10,9,1,"D",1,57
298,1,10,10,1,"A",0,108
299,1,10,11,1,"D",0,72
300,1,10,12,1,"B",1,16
301,1,10,13,1,"C",1,16
302,1,10,14,1,"E",0,58
303,1,10,15,1,"D",0,68
304,1,10,16,1,"A",1,87
305,1,10,17,1,"B",1,96
306,1,10,18,1,"C",1,29
307,1,10,19,1,"D",1,19
308,1,10,20,1,"A",0,45
309,1,10,21,1,"A",1,51
310,1,10,22,1,"E",0,100
311,1,10,23,1,"A",0,82
312,1,10,24,1,"D",1,12
313,1,10,25,1,"E",1,12
314,1,10,26,1,"B",0,70
315,1,10,27,1,"B",1,29
316,1,10,28,1,"E",0,82
317,1,10,29,1,"D",1,106
318,1,10,30,1,"E",1,22
319,1,10,31,1,"A",1,11
320,1,10,32,1,"B",1,50
321,1,11,1,1,"B",0,19
322,1,11,2,1,"E",0,56
323,1,11,3,1,"D",0,45
324,1,11,4,1,"E",0,89
325,1,11,5,1,"E",1,79
326,1,11,6,1,"C",0,21
327,1,11,7,1,"D",0,28
328,1,11,8,1,"C",1,32
329,1,11,9,1,"C",0,59
330,1,11,10,1,"E",1,81
331,1,11,11,1,"E",0,99
332,1,11,12,1,"B",1,15
333,1,11,13,1,"C",1,26
334,1,11,14,1,"B",0,43
335,1,11,15,1,"B",0,47
336,1,11,16,1,"B",0,86
337,1,11,17,1,"B",1,64
338,1,11,18,1,"C",1,29
339,1,11,19,1,"B",0,22
340,1,11,20,1,"C",0,55
341,1,11,21,1,"E",0,76
342,1,11,22,1,"B",1,105
343,1,11,23,1,"C",1,112
344,1,11,24,1,"D",1,5
345,1,11,25,1,"C",0,15
346,1,11,26,1,"D",0,71
347,1,11,27,1,"E",0,71
348,1,11,28,1,"E",0,85
349,1,11,29,1,"A",0,84
350,1,11,30,1,"E",1,19
351,1,11,31,1,"A",1,26
352,1,11,32,1,"A",0,60
353,1,12,1,1,"A",1,16
354,1,12,2,1,"B",1,31
355,1,12,3,1,"D",0,47
356,1,12,4,1,"D",1,100
357,1,12,5,1,"E",1,87
358,1,12,6,1,"A",1,18
359,1,12,7,1,"B",1,12
360,1,12,8,1,"C",1,67
361,1,12,9,1,"D",1,57
362,1,12,10,1,"E",1,107
363,1,12,11,1,"E",0,105
364,1,12,12,1,"B",1,14
365,1,12,13,1,"C",1,16
366,1,12,14,1,"D",1,68
367,1,12,15,1,"E",1,55
368,1,12,16,1,"A",1,113
369,1,12,17,1,"B",1,81
370,1,12,18,1,"C",1,26
371,1,12,19,1,"D",1,35
372,1,12,20,1,"D",0,55
373,1,12,21,1,"A",1,38
374,1,12,22,1,"A",0,83
375,1,12,23,1,"E",0,103
376,1,12,24,1,"D",1,5
377,1,12,25,1,"E",1,28
378,1,12,26,1,"A",1,47
379,1,12,27,1,"B",1,56
380,1,12,28,1,"B",0,70
381,1,12,29,1,"A",0,85
382,1,12,30,1,"E",1,37
383,1,12,31,1,"A",1,33
384,1,12,32,1,"B",1,60
385,2,1,1,2,"A",1,35
386,2,1,2,2,"D",0,66
387,2,1,3,2,"D",0,80
388,2,1,4,2,"C",0,75
389,2,1,5,2,"C",0,95
390,2,1,6,2,"A",1,12
391,2,1,7,2,"B",1,28
392,2,1,8,2,"C",1,73
393,2,1,9,2,"D",1,64
394,2,1,10,2,"E",1,77
395,2,1,11,2,"A",1,89
396,2,1,12,2,"B",1,31
397,2,1,13,2,"C",1,24
398,2,1,14,2,"D",1,67
399,2,1,15,2,"E",1,49
400,2,1,16,2,"D",0,78
401,2,1,17,2,"C",0,80
402,2,1,18,2,"C",1,11
403,2,1,19,2,"E",0,28
404,2,1,20,2,"E",1,57
405,2,1,21,2,"B",0,76
406,2,1,22,2,"B",1,104
407,2,1,23,2,"C",1,81
408,2,1,24,2,"E",0,8
409,2,1,25,2,"E",1,21
410,2,1,26,2,"E",0,30
411,2,1,27,2,"D",0,66
412,2,1,28,2,"B",0,92
413,2,1,29,2,"A",0,101
414,2,1,30,2,"C",0,24
415,2,1,31,2,"A",1,20
416,2,1,32,2,"E",0,86
417,2,2,1,2,"A",1,29
418,2,2,2,2,"A",0,72
419,2,2,3,2,"B",0,76
420,2,2,4,2,"D",1,89
421,2,2,5,2,"B",0,71
422,2,2,6,2,"A",1,14
423,2,2,7,2,"B",1,29
424,2,2,8,2,"C",1,39
425,2,2,9,2,"B",0,34
426,2,2,10,2,"E",1,85
427,2,2,11,2,"C",0,111
428,2,2,12,2,"B",1,27
429,2,2,13,2,"C",1,27
430,2,2,14,2,"D",1,58
431,2,2,15,2,"E",1,55
432,2,2,16,2,"B",0,76
433,2,2,17,2,"B",1,93
434,2,2,18,2,"C",1,41
435,2,2,19,2,"C",0,5
436,2,2,20,2,"E",1,63
437,2,2,21,2,"A",1,40
438,2,2,22,2,"B",1,101
439,2,2,23,2,"A",0,99
440,2,2,24,2,"D",1,19
441,2,2,25,2,"E",1,14
442,2,2,26,2,"E",0,44
443,2,2,27,2,"D",0,39
444,2,2,28,2,"C",1,95
445,2,2,29,2,"B",0,67
446,2,2,30,2,"E",1,36
447,2,2,31,2,"A",1,9
448,2,2,32,2,"B",1,67
449,2,3,1,2,"A",1,24
450,2,3,2,2,"E",0,85
451,2,3,3,2,"C",1,58
452,2,3,4,2,"D",1,85
453,2,3,5,2,"B",0,75
454,2,3,6,2,"A",1,19
455,2,3,7,2,"B",1,33
456,2,3,8,2,"C",1,63
457,2,3,9,2,"A",0,71
458,2,3,10,2,"E",1,87
459,2,3,11,2,"A",1,94
460,2,3,12,2,"B",1,42
461,2,3,13,2,"C",1,31
462,2,3,14,2,"D",1,46
463,2,3,15,2,"E",1,63
464,2,3,16,2,"B",0,68
465,2,3,17,2,"B",1,80
466,2,3,18,2,"C",1,10
467,2,3,19,2,"D",1,27
468,2,3,20,2,"E",1,28
469,2,3,21,2,"A",1,66
470,2,3,22,2,"B",1,104
471,2,3,23,2,"A",0,102
472,2,3,24,2,"D",1,33
473,2,3,25,2,"E",1,31
474,2,3,26,2,"A",1,64
475,2,3,27,2,"A",0,60
476,2,3,28,2,"A",0,85
477,2,3,29,2,"C",0,78
478,2,3,30,2,"E",1,29
479,2,3,31,2,"A",1,28
480,2,3,32,2,"B",1,69
481,2,4,1,2,"A",1,18
482,2,4,2,2,"B",1,41
483,2,4,3,2,"C",1,61
484,2,4,4,2,"D",1,124
485,2,4,5,2,"E",1,109
486,2,4,6,2,"A",1,18
487,2,4,7,2,"B",1,35
488,2,4,8,2,"C",1,65
489,2,4,9,2,"D",1,47
490,2,4,10,2,"E",1,88
491,2,4,11,2,"D",0,111
492,2,4,12,2,"B",1,35
493,2,4,13,2,"C",1,46
494,2,4,14,2,"D",1,44
495,2,4,15,2,"E",1,52
496,2,4,16,2,"A",1,78
497,2,4,17,2,"B",1,80
498,2,4,18,2,"C",1,44
499,2,4,19,2,"C",0,45
500,2,4,20,2,"E",1,67
501,2,4,21,2,"A",1,43
502,2,4,22,2,"B",1,88
503,2,4,23,2,"C",1,86
504,2,4,24,2,"D",1,31
505,2,4,25,2,"E",1,5
506,2,4,26,2,"A",1,53
507,2,4,27,2,"C",0,56
508,2,4,28,2,"C",1,97
509,2,4,29,2,"D",1,91
510,2,4,30,2,"E",1,8
511,2,4,31,2,"A",1,5
512,2,4,32,2,"B",1,56
513,2,5,1,2,"A",1,39
514,2,5,2,2,"D",0,48
515,2,5,3,2,"D",0,58
516,2,5,4,2,"D",1,94
517,2,5,5,2,"E",1,89
518,2,5,6,2,"A",1,29
519,2,5,7,2,"B",1,21
520,2,5,8,2,"A",0,56
521,2,5,9,2,"D",1,60
522,2,5,10,2,"E",1,89
523,2,5,11,2,"A",1,64
524,2,5,12,2,"B",1,11
525,2,5,13,2,"C",1,38
526,2,5,14,2,"D",1,47
527,2,5,15,2,"E",1,25
528,2,5,16,2,"A",1,90
529,2,5,17,2,"D",0,95
530,2,5,18,2,"C",1,24
